Rank,WinRate,Games,KDA,AVG_kills,AVG_deaths,AVG_assists,Creep_Score,Damage,Gold,Multi_Kill
Challenger,43,49,2.86,10.9,6.0,6.2,191.8,24041,13079,61
Challenger,55,148,2.96,7.0,5.4,8.9,134.4,14831,10801,91
Challenger,67,63,3.01,7.6,4.6,6.3,205.6,19467,12985,73
Challenger,61,215,2.41,7.5,5.5,5.7,216.8,20748,12609,226
Challenger,56,445,2.81,6.9,4.9,7.0,175.4,18767,11455,395
Challenger,68,34,2.89,8.1,5.8,8.6,158.7,19225,11184,26
Challenger,66,165,5.29,5.7,2.5,7.5,172.9,18992,10399,79
Challenger,60,208,3.3,1.4,4.8,14.4,29.6,5271,7098,5
Challenger,57,190,2.87,5.5,3.8,5.3,193.7,15170,11154,101
Challenger,61,344,2.98,4.8,5.4,11.2,136.7,15290,9574,123
Challenger,64,53,2.43,6.2,4.8,5.4,183.7,17304,11353,37
Challenger,62,157,2.71,9.4,5.5,5.4,174.0,21566,11968,168
Challenger,53,136,4.32,7.5,3.6,8.1,160.1,15582,11485,121
Challenger,55,143,3.54,1.6,4.6,14.7,31.5,5809,7170,6
Challenger,57,28,2.25,11.1,9.3,9.8,208.3,33849,14093,58
Challenger,67,63,3.01,7.6,4.6,6.3,205.6,19467,12985,73
Challenger,61,215,2.41,7.5,5.5,5.7,216.8,20748,12609,226
Challenger,56,97,3.53,8.0,4.4,7.5,164.0,18649,11391,101
Challenger,56,445,2.81,6.9,4.9,7.0,175.4,18767,11455,395
Challenger,65,293,3.78,4.2,3.9,10.6,134.4,12079,9092,61
Challenger,62,148,3.16,8.4,4.4,5.4,203.1,18709,12174,206
Challenger,60,257,3.19,8.0,4.7,7.0,170.6,18965,11151,251
Challenger,63,117,3.56,1.7,4.6,14.6,35.0,5427,7521,7
Challenger,59,88,2.5,6.4,5.2,6.6,199.6,23707,11570,80
Challenger,59,147,2.68,6.0,4.7,6.6,176.2,17342,10935,78
Challenger,51,65,3.07,8.6,4.7,6.0,202.3,19306,12446,111
Challenger,61,43,2.4,7.8,5.8,6.0,232.6,23001,13607,35
Challenger,61,215,2.41,7.5,5.5,5.7,216.8,20748,12609,226
Challenger,63,51,1.79,7.7,7.1,4.9,210.4,19709,12350,53
Challenger,56,97,3.53,8.0,4.4,7.5,164.0,18649,11391,101
Challenger,54,76,2.01,6.0,8.4,10.9,35.4,9925,10080,39
Challenger,54,703,2.71,2.7,5.9,13.4,35.4,10823,7900,77
Challenger,56,220,4.33,6.3,2.6,5.1,245.6,16463,12626,222
Challenger,58,342,2.74,3.9,4.5,8.5,176.3,15681,10511,88
Challenger,59,184,3.11,7.5,4.4,6.1,211.1,19240,12530,166
Challenger,62,157,2.71,9.4,5.5,5.4,174.0,21566,11968,168
Challenger,60,140,2.72,8.6,5.7,6.8,219.6,19224,13215,222
Challenger,56,590,3.47,2.9,4.1,11.2,127.9,12397,8598,80
Challenger,49,73,1.95,4.9,5.5,5.8,173.3,18508,10699,31
Grandmaster,69,39,4.75,10.2,4.1,9.1,154.2,17798,12306,46
Grandmaster,55,212,2.97,6.5,4.1,5.8,214.6,17361,11932,194
Grandmaster,57,1322,2.48,8.2,6.2,7.2,129.1,18262,10859,1725
Grandmaster,52,256,2.28,2.4,7.0,13.5,32.2,8120,7422,32
Challenger,64,167,3.56,7.8,4.6,8.5,144.4,15831,10947,137
Grandmaster,49,138,1.55,5.5,6.6,4.8,198.5,20153,11326,69
Grandmaster,61,105,2.14,7.7,6.9,7.0,172.1,21994,11336,114
Grandmaster,65,124,2.99,7.4,4.9,7.3,191.7,25037,11613,166
Challenger,59,68,2.93,7.7,5.0,6.9,173.8,20137,10973,88
Challenger,57,195,2.29,6.9,5.3,5.3,203.6,19338,11754,182
Grandmaster,65,121,3.46,1.5,4.9,15.5,27.2,5539,7855,9
Grandmaster,58,108,4.19,7.5,3.5,7.0,173.5,20229,11172,81
Grandmaster,67,97,4.61,2.0,4.0,16.3,17.4,7335,8027,4
Challenger,59,496,5.02,2.0,3.4,15.1,26.0,8074,8020,31
Challenger,60,402,3.12,8.1,4.5,5.9,185.1,19247,11607,471
Challenger,55,143,3.54,1.6,4.6,14.7,31.5,5809,7170,6
Challenger,58,137,5.68,10.7,3.0,6.5,182.7,24476,12755,169
Challenger,73,114,3.86,4.3,3.7,10.1,119.8,13279,8616,30
Grandmaster,58,508,3.41,7.7,4.7,8.3,204.3,21300,12418,636
Grandmaster,69,78,4.14,2.9,4.3,15.0,21.2,10661,8198,4
Grandmaster,55,616,2.29,7.6,5.4,4.8,181.8,17546,11858,622
Grandmaster,53,224,2.82,8.1,5.0,6.1,202.9,20482,12510,254
Grandmaster,55,363,2.59,7.3,5.0,5.6,182.7,19335,11253,249
Grandmaster,57,216,2.48,7.8,5.8,6.6,159.3,18066,11238,285
Grandmaster,64,242,3.79,5.8,4.0,9.4,161.5,14824,10523,136
Grandmaster,62,73,2.06,5.4,5.4,5.7,194.5,21334,11785,48
Grandmaster,46,39,2.4,6.3,5.1,5.9,211.1,19066,12081,19
Grandmaster,62,55,6.14,7.1,2.5,7.9,152.4,16029,10896,41
Grandmaster,58,167,2.69,11.4,6.7,6.6,153.9,23936,11979,207
Grandmaster,61,132,3.01,4.6,4.6,9.3,193.4,15518,11727,43
Unranked,55,264,2.04,5.4,7.2,9.3,35.3,8993,9684,148
Grandmaster,54,163,4.5,7.5,3.2,7.0,177.6,17971,11425,131
Grandmaster,60,20,2.62,5.9,4.2,5.1,202.0,16304,11076,8
Grandmaster,57,307,2.44,5.7,4.8,6.1,170.8,17516,10772,146
Grandmaster,60,102,3.51,1.6,4.3,13.5,27.6,5985,7175,4
Grandmaster,56,842,3.4,6.7,4.1,7.2,177.9,18957,10697,598
Grandmaster,55,217,4.07,4.9,3.6,9.7,174.9,10791,10750,70
Grandmaster,56,147,2.72,6.8,4.8,6.3,210.0,18403,12075,132
Grandmaster,76,59,4.67,3.6,4.2,15.8,22.2,13472,8479,11
Grandmaster,57,252,2.58,1.7,6.2,14.2,30.9,7298,7096,10
Grandmaster,69,39,2.57,7.4,5.7,7.3,177.9,19102,11502,30
Unranked,52,371,3.42,0.9,3.9,12.3,42.1,4155,7051,7
Challenger,56,154,4.41,7.1,3.8,9.4,142.1,15414,10687,107
Challenger,51,65,3.07,8.6,4.7,6.0,202.3,19306,12446,111
Challenger,59,171,3.21,5.8,3.9,6.8,178.6,19622,10585,75
Challenger,60,402,3.12,8.1,4.5,5.9,185.1,19247,11607,471
Challenger,57,157,3.51,8.7,4.4,6.7,165.0,17607,11728,245
Challenger,53,136,4.32,7.5,3.6,8.1,160.1,15582,11485,121
Challenger,66,68,3.27,5.2,4.2,8.5,152.4,17943,10722,13
Challenger,52,2047,3.96,1.4,3.7,13.4,34.2,4812,6983,96
Grandmaster,61,133,3.59,1.3,4.4,14.5,28.9,5734,7122,4
Master,54,195,3.42,2.3,5.1,15.1,34.9,6576,7786,12
Master,59,17,1.9,7.8,6.7,4.9,206.1,22593,13185,13
Master,59,378,4.02,7.9,4.1,8.5,159.8,16431,11569,253
Grandmaster,62,147,3.13,1.7,5.0,14.0,32.4,5676,7357,2
Master,54,204,2.74,8.1,5.1,5.8,205.1,17776,12068,399
Grandmaster,53,407,3.58,8.8,4.8,8.5,142.8,18464,11313,285
Master,56,326,3.41,7.0,4.5,8.3,186.6,17910,11864,287
Grandmaster,54,264,3.02,1.4,5.0,13.9,32.1,5816,7197,13
Unranked,57,47,3.04,2.9,6.2,16.0,12.0,8093,8176,7
Grandmaster,58,57,2.89,8.2,5.4,7.3,211.0,20805,13202,65
Grandmaster,63,41,2.51,2.1,6.0,12.9,39.7,7714,7658,3
Unranked,54,407,2.98,6.8,4.6,7.0,199.1,18225,11864,325
Unranked,59,51,3.28,6.7,4.0,6.4,197.6,22016,11461,53
Grandmaster,72,93,4.53,9.5,3.5,6.3,164.0,20392,11697,130
Master,59,263,3.31,6.4,4.4,8.3,191.7,17147,11380,237
Grandmaster,54,407,2.94,9.4,4.9,5.1,188.5,21103,12017,435
Master,55,80,2.47,4.6,4.3,5.9,174.5,14544,10277,32
Master,60,135,2.66,5.4,4.1,5.6,237.1,17587,12576,94
Master,59,179,2.12,5.9,5.5,5.8,182.9,19645,11066,123
Master,54,348,2.05,9.9,7.4,5.2,174.6,23649,12524,525
Master,54,191,2.8,7.9,5.0,6.2,161.7,18900,11022,170
Master,61,94,3.15,3.0,4.7,11.9,68.8,11074,8574,15
Master,57,103,4.46,1.7,3.4,13.5,31.2,5233,7265,4
Master,55,244,2.07,6.4,5.4,4.9,178.8,17216,11116,164
Master,55,808,4.34,1.9,4.0,15.5,7.7,8535,7381,47
Master,54,430,1.92,7.8,7.2,6.0,182.0,20929,12523,540
Master,62,132,2.44,6.4,5.6,7.2,224.8,22464,12525,114
Master,51,505,2.02,4.0,5.1,6.3,190.2,17253,10477,144
Challenger,57,89,2.63,5.4,3.9,4.9,221.2,21487,11776,62
Challenger,56,97,3.53,8.0,4.4,7.5,164.0,18649,11391,101
Challenger,60,52,2.79,5.1,4.3,6.8,197.5,15396,10634,23
Challenger,59,189,2.21,5.7,5.3,6.0,170.0,17812,10695,110
Challenger,60,257,3.19,8.0,4.7,7.0,170.6,18965,11151,251
Challenger,60,119,2.86,8.6,4.9,5.5,226.7,20517,13213,174
Challenger,61,344,2.98,4.8,5.4,11.2,136.7,15290,9574,123
Challenger,64,53,2.43,6.2,4.8,5.4,183.7,17304,11353,37
Challenger,59,87,3.4,8.0,3.9,5.2,216.9,18092,12308,123
